2008 global financial crisis | gave rise to | bitcoin
Trust | withered in | the financial system
Trust | withered in | Washington’s ability to protect those who must participate in the financial system
Withered trust in the financial system and Washington’s protection | set the stage for | bitcoin’s arrival
Washington’s embrace of bitcoin | is helping to send | bitcoin’s price to record levels
Washington’s embrace of bitcoin | is lining | the pockets of bitcoin’s believers
Bitcoin | briefly surged above | $103,000
President-elect Donald Trump’s statement that he intends to nominate Paul Atkins as SEC chair | was followed by | bitcoin briefly surging above $103,000
President-elect Donald Trump | said he intends to nominate | Paul Atkins as the next chair of the Securities and Exchange Commission
Paul Atkins | is seen as friendly to | crypto
Paul Atkins | is | a former regulator
Paul Atkins | would replace | Gary Gensler as SEC chair
Critics | say | Gary Gensler has been overly aggressive in his oversight of crypto
Gary Gensler | has been overly aggressive in | his oversight of crypto
This latest price move | is | the latest leg in an astonishing run for bitcoin
Bitcoin’s swings in price | are | notoriously extreme
Bitcoin | has more than doubled | this year
Election Day | preceded and helped spur | a particularly big jump in bitcoin’s price
Bitcoin’s price on Election Day | was sitting below | $70,000
The particularly big jump in bitcoin’s price | came after | Election Day
Trump | called for making | the United States “the crypto capital of the planet”
Trump’s campaign period | provided the context for | his call to make the United States “the crypto capital of the planet”
The crypto industry | did its part to bring | politicians friendly to digital currencies into Washington
Politicians friendly to digital currencies | were brought into | Washington by the crypto industry
Crypto corporations | poured over $119 million into | influencing federal elections in 2024
Crypto corporations | directed over $119 million primarily into | a political action committee
The political action committee | is dedicated to electing | pro-crypto candidates
The political action committee | is dedicated to defeating | crypto skeptics
Public Citizen | conducted | a recent review of crypto political spending
The recent review by Public Citizen | reported | that crypto corporations poured over $119 million into influencing federal elections in 2024
Bitcoin | hit | the $100,000 mark for the first time
Bitcoin’s first move to $100,000 | marked | the first time it reached six figures
Gary Gensler | led | the US crackdown on cryptocurrencies
US crackdown | targeted | cryptocurrencies
SEC Chair Gary Gensler | is to step down from | his position
Bitcoin | surged past | $87,000 for the first time
Trump’s election win | was followed by and helped fuel | bitcoin’s surge past $87,000
The $119 million from crypto corporations | is | a large amount
Crypto companies | accounted for | 44% of all the corporate money contributed during this year’s elections
The consumer advocacy organization | reported | that crypto companies accounted for 44% of corporate money in the elections
A tight embrace of crypto by Washington and corporate donors | marks | an interesting twist from bitcoin’s early days
Satoshi Nakamoto (someone or a group under that name) | created | a kind of electronic cash (bitcoin)
The electronic cash Nakamoto created | would not be beholden to | any government or financial institution
Governments and financial institutions | would not control | Nakamoto’s electronic cash system
The white paper announcing bitcoin | presented | Nakamoto’s critique of the traditional online business model
Nakamoto | said | the traditional way of doing business on the internet works well enough for most transactions
Traditional ways of doing business on the internet | work well enough for | most transactions
Nakamoto | said | the traditional system still suffers from the inherent weaknesses of the trust-based model
The trust-based model | suffers from | inherent weaknesses
The trust-based payment model | requires | a third party like a bank to process payments
A third party like a bank | needs to process | payments in the trust-based model
Nakamoto | suggested harnessing | computing power around the world
Harnessing computing power around the world | would create | a digital currency that can’t be double-spent
The proposed digital currency | cannot be | double-spent
An electronic payment system based on cryptographic proof | is needed instead of | trust
An electronic payment system based on cryptographic proof | allows | any two willing parties to transact directly with each other
Transactions between any two willing parties | can occur directly without | a trusted third party
A trusted third party | is not needed for | transactions in a cryptographic-proof-based system
The envisioned electronic payment system | became | the bitcoin network
The bitcoin network | originated from | Nakamoto’s proposed cryptographic payment system
Bitcoin | has moved from | the financial fringes toward the mainstream
Bitcoin’s development | has progressed in | jagged fits and starts
Bitcoin | has not taken off as | a way to pay for groceries
Bitcoin | found popularity as | a kind of “digital gold”
Bitcoin | serves as | a way to store value
Value stored in bitcoin | is not subject to | the direct influence of a federal government or a central bank
Federal governments and central banks | do not directly influence | value stored in bitcoin
In its early days, bitcoin | had a reputation for use by | drug dealers, scammers, crypto enthusiasts, libertarians and others
Drug dealers, scammers, crypto enthusiasts, libertarians and others | were looking to move | money without oversight by the government
Government | provides | oversight over money movement that these users wanted to avoid
Bitcoin | enabled moving | money without oversight by the government
Bitcoin | has found its way into | more investor portfolios
Investors | have added | bitcoin to their portfolios
The SEC | approved | exchange-traded funds that track the spot price of bitcoin
Exchange-traded funds | track | the spot price of bitcoin
Such ETFs | give investors | a relatively easy way to buy bitcoin directly in their existing trading accounts
Such ETFs | enable | investors to buy bitcoin through their existing trading accounts
Bitcoin | has soared through | a series of manic bull runs
“Crypto winters” | brought | extreme declines in bitcoin’s price
Manic bull runs | produced | large increases in bitcoin’s price
Bitcoin’s price | rose from | just over $5,000 at the start of the COVID-19 pandemic to nearly $69,000 by late 2021
Bitcoin’s price | crashed below | $17,000
Hikes to interest rates by the Federal Reserve | contributed to | bitcoin’s crash below $17,000
The Federal Reserve | hiked | interest rates
The 2022 collapse of crypto exchange FTX | contributed to | bitcoin’s crash below $17,000
Crypto exchange FTX | collapsed in | 2022
Bitcoin’s latest bull run | prompted | the man about to roll into the White House to take some credit
The man about to roll into the White House (Trump) | seemed to take | at least some credit for bitcoin’s bull run
Trump | said | “CONGRATULATIONS BITCOINERS!!!” in a post on his Truth Social network
Trump | posted | on his Truth Social network
Bitcoin | reached | $100,000 (implied by “$100,000!!!”)
Trump | implied he helped cause | bitcoin reaching $100,000 with “YOU’RE WELCOME!!!”
