Gold | has bedazzled | investors
Gold | has surged | nearly 30% this year
Gold (the precious yellow metal) | has lost | some of its shine
Election | marks the period since which | gold has lost some of its shine
President-elect Donald Trump | has fully embraced | Bitcoin
Trump’s full-blown embracing of Bitcoin | could be | a problem for gold
Trump’s full-blown embracing of Bitcoin | could undermine | gold
Jerome Powell | made | comments on Bitcoin
Jerome Powell | said | Bitcoin was “like gold—it’s just virtual and digital”
Bitcoin | is like | gold
Bitcoin | is | virtual and digital
Powell’s comments | have heartened | crypto enthusiasts
Some analysts | think | gold could continue to lose appeal
Gold | could continue to lose | appeal in the coming year
Investors | cozy up to | Bitcoin
Federal government | could cozy up to | Bitcoin
Investors and possibly the federal government cozying up to Bitcoin | could cause | gold to lose appeal
Cynthia Lummis | is | a Trump ally
Cynthia Lummis | introduced | a bill in July
The bill | calls for | the Treasury Department to buy one million Bitcoin
Treasury Department | is called upon to buy | one million Bitcoin over five years
Treasury Department | is called upon to hold | one million Bitcoin in a Strategic Bitcoin Reserve
Strategic Bitcoin Reserve | would hold | the purchased Bitcoin
The bill | suggests | Federal Reserve regional banks could sell some of their gold holdings
Federal Reserve regional banks | could sell | some of their gold holdings
Proceeds from gold sales | could be used to purchase | Bitcoin
Federal Reserve regional banks | could use the proceeds to purchase | Bitcoin
Gold holdings | could be converted into | Bitcoin
All these pro-Bitcoin developments | make it easy to see | why gold prices have fallen about 3% since Election Day
Gold prices | have fallen | about 3% since Election Day
Bitcoin | has soared | more than 30% to above $100,000 since Election Day
Investors | have shunned | gold
Investors | have favored | crypto
Investors’ preference for crypto | has displaced | demand for gold
World Gold Council | reports | that global gold ETFs posted monthly outflows in November
Global gold exchange-traded funds | posted | monthly outflows in November
November outflows | marked | the first outflows since April
BlackRock’s new iShares Bitcoin Trust ETF | is | the largest of numerous spot Bitcoin ETFs launched earlier this year
Spot Bitcoin ETFs | launched | earlier this year
iShares Bitcoin Trust ETF | now has | more than $50 billion in net assets
iShares Bitcoin Trust ETF net assets | are more than | the firm’s gold ETF net assets
iShares Gold Trust | is | the firm’s gold ETF
iShares Gold Trust | made | its debut in 2005
iShares Gold Trust | has | $33 billion in assets
Bitcoin | is | outperforming gold
This trend of Bitcoin outperforming gold | could continue | into the future
Crypto enthusiasts | now have | fans in the highest levels of Washington
Highest levels of Washington | include | fans of crypto
Governments | are giving | support to Bitcoin
Investors | are giving | support to Bitcoin
Bitcoin | is receiving | increasing support from both governments and investors
Increasing support for Bitcoin | makes more likely | its adoption as a national reserve currency
Bitcoin | is very likely to be adopted as | a national reserve currency
Anton Chashchin | said | Bitcoin is likely to be adopted as a national reserve currency
Anton Chashchin | is | founder and CEO of N7 Capital
N7 Capital | is | a private fintech group
A Bitcoin reserve | could diversify | assets
A Bitcoin reserve | could serve as | a hedge
Concerns over the dollar’s declining value | increase | the appeal of a Bitcoin reserve as a hedge
Dollar | is associated with | a declining value (or concerns about it)
Others | noted | that Powell’s comments on Bitcoin are an encouraging sign
Powell’s comments on Bitcoin | are | an encouraging sign
Powell’s comments | encourage | Bitcoin supporters
José Torres | is | senior economist at Interactive Brokers
