Donald Trump’s re-election | helped Bitcoin hit | $100,000
Other contributing factors | have led to | the crypto resurgence
Donald Trump winning re-election on Nov. 5 | has coincided with continued soaring of | the price of Bitcoin
Bitcoin’s price hitting $103,000 on Dec. 5 | resulted in | surpassing the $100,000 resistance mark
Larger coin market cap | increases the amount of money needed to | spike or dump that coin’s price
Bitcoin’s price movements | can influence | the rest of the crypto market
New inflows into crypto | tend to flow into | BTC
Tailwinds such as speculation that the US will build up a BTC reserve | are likely to skew | this cycle towards BTC
Combination of a favorable broader market and US government changes | caused | Bitcoin to surpass $90,000
Favorable broader market conditions | contributed to | Bitcoin surpassing $90,000
US government changes | contributed to | Bitcoin surpassing $90,000
US government changes | may trigger | a potentially massive shift in the market
Interest rate hikes | caused | the crypto asset class to reel
Regulatory crackdowns | caused | the crypto asset class to reel
The crypto industry | has allegedly helped to buy or win | the election for Trump
Trump’s win | increased | investor confidence
Approval of Bitcoin ETFs | increased | investor confidence
Increased investor confidence | is causing | Bitcoin’s price to spike
Trump’s win and the approval of Bitcoin ETFs | have led investors to believe | US regulation will favor them
Market sentiment | helps shape | Bitcoin’s price
Regulatory developments | help shape | Bitcoin’s price
Broader macroeconomic conditions | help shape | Bitcoin’s price
Dynamic interplay of market sentiment, regulatory developments, and macroeconomic conditions | shapes | Bitcoin’s price
The cryptocurrency market’s inherent volatility | causes | prices to be subject to rapid fluctuations
The high-risk, high-reward nature of the crypto market | requires | a well-considered strategy to navigate it
Tapping Elon Musk to run the Department of Government Efficiency (DOGE) | makes him head of | the Department of Government Efficiency
Failure of Sam Bankman-Fried’s FTX exchange | caused in large part | the crypto market crash
Seizing Bitcoin from cybercriminals over the years | led the US government to obtain | its current Bitcoin holdings
Blockchain transactions not being reversible | motivates | hackers and scammers to prefer using crypto
Difficulty of tracing identities when certain platforms or anonymizing mixing services are used | motivates | hackers and scammers to target crypto users
Use of certain platforms or anonymizing mixing services | makes | identities difficult to trace
Gensler’s decision to resign | preempted | Trump’s stated intention to fire him
Trump’s selection of pro-crypto lobbyist Paul Aktins to replace Gensler | is good news for | the crypto industry
Replacing Gary Gensler with pro-crypto Paul Aktins | benefits | the crypto industry
Biden’s alleged hatred of Bitcoin (as claimed by Trump) | helps | China, Russia, and the Radical Communist Left
Biden’s policies overall | are designed to hinder | crypto’s advancement
