Bitcoin | broke above | $100,000
investors | bet on | a friendly U.S. regulatory shift
investors' bets on a friendly U.S. regulatory shift | helped push | Bitcoin above $100,000
Jerome Powell | made | upbeat comments on the economy
Powell's upbeat comments on the economy | bolstered | sentiment
bolstered sentiment | supported | world stocks touching fresh record highs
world stocks | touched | fresh record highs
France's government | lost | a confidence vote
far-right and leftist lawmakers | joined forces to topple | Michel Barnier's government
far-right and leftist lawmakers joining forces | led to | France's government losing the confidence vote
investors | had widely anticipated | the move to topple Barnier's government
investors' anticipation of the move | kept | the euro, French stocks and bonds largely steady
loss of the confidence vote | led to | Barnier officially resigning
Barnier | officially resigned from | his government post
comments from Fed Chair Powell | helped | all three major U.S. stock indexes score record closing highs
all three major U.S. stock indexes | scored | record closing highs
U.S. stocks | were | little changed
Dow Jones Industrial Average | fell by | 0.22%
S&P 500 | rose by | 0.09%
Nasdaq Composite | gained | 0.19%
Powell | said | the economy was stronger than it had appeared in September
the economy | was | stronger than it had appeared in September
the central bank | began cutting | interest rates in September
stronger-than-expected economic conditions | allowed | policymakers to be more cautious in reducing rates further
fall in U.S. Treasury yields in recent weeks | was supporting | sentiment in equity markets
relatively robust U.S. data | was supporting | sentiment in equity markets
Powell's latest comments | were supporting | sentiment in equity markets
Francois Savary | said | those factors were supporting sentiment in equity markets
risk | threatens | the euphoria in markets
everything | is going | the right way right now
Trump | will take | power in January
Trump's taking power | will require | him to implement economic plans
implementation of economic plans | will make | people realise there could be inflationary impact
Trump's economic plans | could have | potential inflationary impact
bitcoin | hit | the $100,000 mark
bitcoin | was trading | around 3% higher on the day near $101,000
bitcoin's strong price gains | made | it bitcoin's day to shine
Trump | said he would nominate | Paul Atkins to run the Securities and Exchange Commission
Paul Atkins | is | pro-crypto
Paul Atkins | is | pro-deregulation
Trump's pledge to nominate Paul Atkins | sparked | bitcoin's latest surge
bitcoin's latest surge | followed | Trump's nomination announcement
Geoff Kendrick | said | the $100,000 level is just a number
bitcoin's $100,000 level | is | just a number
the illustration picture | shows | Bitcoin tokens and a price chart
the crypto industry | has become | institutionalised this year
ETF inflows | have driven | the industry's institutionalisation
ETF inflows | come from | exchange traded funds approved earlier this year
institutionalisation of the crypto industry | has enabled | bitcoin to get to this level
U.S. rate-cut optimism | supported | sentiment across broader markets
markets | have priced in | an extra U.S. rate cut for 2025
pricing in an extra U.S. rate cut | has lifted | the implied chance of a December cut to around 70%
implied chance of a December rate cut | has risen to | around 70%
Christopher Waller | said | he was leaning towards a December rate cut
Christopher Waller | was leaning towards | a rate cut in December
the U.S. ISM survey | showed | services sector activity slowed in November
services sector activity | slowed | in November
services sector activity | had posted | big gains in recent months
big gains in services activity in recent months | were followed by | a slowdown in November
investors | digested | slightly higher jobless claims data
investors digesting slightly higher jobless claims data | helped push | benchmark 10-year Treasury yields up
jobless claims data | was | slightly higher
markets | were focused on | upcoming monthly U.S. employment data on Friday
new data on Thursday | showed | new unemployment applications increased moderately last week
number of Americans filing new unemployment applications | increased moderately | last week
increase in new unemployment applications | suggested | the labor market continued to steadily cool
labor market | continued to | steadily cool
the dollar | weakened against | major currencies
the dollar weakening by about 0.4% | left | the euro up 0.5% at $1.056
the euro | rose by | 0.5% to $1.056
investors | demand | a risk premium to hold French debt over German Bunds
risk premium on French debt over Bunds | dropped | further away from its highest levels in over 12 years
widely expected government collapse in France | contributed to | the drop in the French risk premium
European stocks | were at | more than a one-month high
bank stocks | aided | the rise in European stocks
investors | hoped | a new budget could be passed in France
toppling of Barnier's government | created hopes for | a new budget in France
hope for a new budget | supported | bank stocks and European stocks
STOXX 600 index | finished | 0.4% higher
STOXX 600 index | logged | its sixth-straight session of advances
six straight sessions of advances | resulted in | the STOXX 600 finishing higher
CAC 40 index | came off | a three-week high
CAC 40 index | ended | 0.3% higher
a lot of bad news | was priced in | markets
bad news being priced in | made it obvious | that the government was heading towards a fall
political developments | were heading towards | the fall of the government
President Yoon Suk Yeol's failed attempt to impose martial law | triggered | volatility and a political crisis
volatility and the political crisis | were followed by | South Korean financial markets being broadly steady
South Korean financial markets | were | broadly steady
investors | weighed | an ample supply outlook for next year against OPEC+ delaying its increase
OPEC+ | delayed | its production increase by three months to April 2025
investors weighing supply outlook against the OPEC+ delay | kept | oil prices steady
U.S. crude | fell by | 0.1% to $68.48 a barrel
Brent crude | declined to | $72.28 per barrel
Brent crude | was down by | 0.04% on the day
