Bitcoin | surged to | $100,000
Bitcoin's surge to $100,000 | is | a staggering price
$100,000 price | is staggering for | a virtual object
Bitcoin | is | a virtual object
Virtual object | is nothing more than | computer code
Crypto currencies | have been on | a wild ride
Posts by Elon Musk | cause | surging and tumbling of crypto currencies
Surging and tumbling of crypto currencies | are based on | little more than a post by Elon Musk
Crypto currency values | have experienced | massive swings in recent years
Total value of the crypto-currency market | is | over $3 trillion
Nearly $1 trillion | was wiped off | the crypto-currency market’s valuation three years ago
People | should remember | that nearly $1 trillion was wiped off the crypto-currency market’s valuation
Crypto-currency as an asset class | is | unstable
£10 note | could buy | a beer on one day
£10 note | could buy | a bottle of fine wine on another day
Instability of crypto-currency as an asset class | is likened to | variability in what a £10 note can buy
Crypto-currency | has | no intrinsic value
Crypto-currency | is not backed by | anything
Bitcoin devotees | will tell | you
Bitcoin’s value | comes from | its scarcity
Gold’s value | comes from | its scarcity
Scarcity by itself | can hardly be | a source of value
Scarcity alone | fails to provide | value
Bitcoin investors | rely on | the “greater fool” theory
Investor | needs to find | someone willing to buy the asset at an even higher price
Finding someone willing to buy the asset at an even higher price | allows | an investor to profit from an investment
Someone | is willing to buy | the asset at an even higher price
Speculative bubble | puts | naive late investors at greatest risk of losses
Naive investors who come to the party late | are at | greatest risk of losses
Coming to the party late | increases | risk of losses for naive investors
Government | should caution | retail investors
Retail investors | act at | their own peril
Acting at their own peril | exposes | retail investors to potential harm
Sophisticated investors | may tap into | the benefits
New technologies | dazzle | the less well-off
Less well-off investors | will take on | risks they do not fully comprehend
Risks | are not fully comprehended by | less well-off investors
Being dazzled by new technologies | leads | less well-off investors to take on risks they do not fully comprehend
Danger | is | that less well-off investors will take on risks they do not fully comprehend
