Bitcoin | has shattered | the $100,000 barrier
Bitcoin | climbed to | $105,000 in early trading on Thursday
heightened expectations of a crypto-friendly Trump White House | accompany | Bitcoin's climb to $105,000
Trump White House | is expected to be | crypto-friendly
the digital currency's price | has surged | 48% since Donald Trump's election win
Donald Trump's election win | is associated with | the 48% surge in the digital currency's price
the digital currency's price | transformed from | $68,000 on November 5 to its current heights
this boom | is largely attributed to | Trump's selection of Elena Vasquez to oversee the Office of the Comptroller of the Currency
Trump | selected | Elena Vasquez to oversee the Office of the Comptroller of the Currency
Elena Vasquez | oversees | the Office of the Comptroller of the Currency
Elena Vasquez | is | a blockchain enthusiast
Elena Vasquez | is | a former Treasury official
Vasquez | has publicly supported | integrating cryptocurrencies into the banking system
integrating cryptocurrencies | applies to | the banking system
Biden era | is associated with | crackdowns (on cryptocurrencies)
Vasquez's support for integrating cryptocurrencies into the banking system | contrasts with | the Biden era's crackdowns
industry voices | are | jubilant
Tyler Brooks | is | CEO of Crypto Alliance
Tyler Brooks | tweeted | "Finally, a regulator who gets it – goodbye to the Wild West accusations."
Tyler Brooks's tweet | expresses | approval of a regulator who understands cryptocurrencies
Brooks's tweet | signals | goodbye to the Wild West accusations
the regulator | gets | it (understands the industry)
Trump's campaign | included | promises of a "U.S. Digital Asset Strategy"
Trump's campaign | included | incentives for domestic mining operations
promises | concern | a "U.S. Digital Asset Strategy"
incentives | target | domestic mining operations
the rally | has lifted | related stocks
the rally | has lifted | mining firm Riot Blockchain (up 60%)
the rally | has lifted | exchange operator Kraken (to record volumes)
mining firm Riot Blockchain | is up | 60%
exchange operator Kraken | is seeing | record volumes
environmental concerns | persist | despite the rally
Bitcoin's energy-intensive mining | draws | criticism from green advocates
green advocates | criticize | Bitcoin's energy-intensive mining
the carbon footprint | is | unsustainable
Rachel Klein | said | "The carbon footprint is unsustainable."
Rachel Klein | is | a climate economist
federal comments from the Treasury Secretary nominee | have buoyed | sentiment
Treasury Secretary nominee | made | federal comments
federal comments | suggest | Bitcoin could rival gold reserves
Bitcoin | could rival | gold reserves
optimists | predict | $200,000 (Bitcoin price) by 2026
historical volatility | tempers | the excitement
a 65% plunge in 2021 | exemplifies | historical volatility
a 65% plunge in 2021 | tempers | the excitement
Bitcoin | hovered around | $103,000 later Thursday
Bitcoin hovering around $103,000 later Thursday | signals | continued market fervor
continued market fervor | is indicated by | Bitcoin's hovering around $103,000 later Thursday
