Gold | surged | nearly 30% this year
Election | caused | gold to lose some of its shine
Donald Trump’s embracing of Bitcoin | could be | a problem for gold
Crypto enthusiasts | felt | heartened by Powell’s comments
Jerome Powell | said | Bitcoin was like gold but digital
Powell’s comments | encouraged | crypto enthusiasts
Analysts | think | gold could lose appeal as investors move to Bitcoin
Investors and government | cozying up to | Bitcoin could reduce gold’s appeal
Cynthia Lummis | introduced | a bill for Treasury to buy one million Bitcoin
Lummis’s bill | calls for | Treasury Department to buy Bitcoin over five years
Lummis’s bill | proposes | creation of Strategic Bitcoin Reserve
Lummis’s bill | suggests | Federal Reserve regional banks sell gold
Federal Reserve banks | sell gold holdings | to purchase Bitcoin
Combined pro-Bitcoin actions | explain | gold price decline since Election Day
Gold prices | fell | about 3% since Election Day
Bitcoin price | soared | more than 30% to above $100,000
Investors | shunned | gold in favor of crypto
Global gold ETFs | posted | monthly outflows in November
Gold ETFs | experienced | first outflows since April
BlackRock’s iShares Bitcoin Trust ETF | accumulated | more than $50 billion in assets
iShares Bitcoin Trust ETF | surpassed | BlackRock’s gold ETF in size
iShares Gold Trust | holds | $33 billion in assets
Bitcoin | outperformed | gold
Bitcoin’s outperformance trend | could | continue
Crypto enthusiasts | gained | supporters in Washington
Bitcoin | received | support from governments and investors
Government and investor support | could lead to | Bitcoin adoption as national reserve currency
Bitcoin reserve | could diversify | assets
Bitcoin reserve | could hedge | against dollar’s declining value
Powell’s comments on Bitcoin | encouraged | market sentiment
Powell’s remarks | quelled | concerns about central bank hostility toward Bitcoin
Powell’s remarks | propelled | hopes that policy leaders will embrace crypto
Gold | retains | place in portfolios despite Bitcoin’s rise
Gold | is less | volatile than Bitcoin
Bitcoin | has experienced | 70–80% pullbacks roughly every four years
Bitcoin | tends to drop | alongside falling stock market
High volatility | reduces | Bitcoin’s stability as a store of value
Bitcoin | lacks | clear investing or economic purpose
Bitcoin | remains | speculative and ill-suited for diversified portfolios
David Dziekanski | argued | Bitcoin and gold could complement each other
Bitcoin and gold | are | long-term stores of value
Low correlation between Bitcoin and gold | makes | them interesting pair for diversification
Quantify Funds | launched | STKD Bitcoin & Gold ETF
STKD Bitcoin & Gold ETF | owns | both crypto and precious metals
Dziekanski | suggested | Bitcoin and gold together can diversify portfolios
Bitcoin | would benefit from | greater market acceptance
Bitcoin | would benefit from | meaningful government support
Bitcoin ETFs and Trump administration | provide | strong backing for Bitcoin
Trump administration’s support | strengthens | crypto market confidence
Bitcoin | now has | ample support from Wall Street and Washington
