Bitcoin | surged to | $100,000
Bitcoin | is | a virtual object
Bitcoin | is | nothing more than computer code
Crypto currencies | have been on | a wild ride
Crypto currencies | surge and tumble sharply | based on little more than a post by Elon Musk
Massive swings | have occurred in | crypto currencies’ value in recent years
Total value of the cryptocurrency market | is now | over $3 trillion
Nearly $1 trillion | was wiped off | crypto market valuation three years ago
Crypto currency as an asset class | is | unstable
£10 note | could buy | a beer on one day
£10 note | could buy | a bottle of fine wine on another day
Bitcoin | has | no intrinsic value
Bitcoin | is not backed by | anything
Bitcoin devotees | claim | Bitcoin’s value comes from scarcity
Scarcity | can hardly be | a source of value
Bitcoin investors | rely on | the “greater fool” theory
Profit from an investment | requires | finding someone willing to buy the asset at an even higher price
Naive investors who come late | are at | greatest risk of losses
The Government | should caution | retail investors that they act at their own peril
Sophisticated investors | may tap into | the benefits
Less well-off dazzled by new technologies | will take on | risks they do not fully comprehend
