investors’ hope | motivates | bitcoin price rising
bitcoin | rises above | $100,000
investors | hope for | Trump administration bringing crypto into mainstream markets
Trump administration | brings (anticipated) | cryptocurrencies into mainstream markets
cryptocurrency | rose to | $103,335
US president-elect (Trump) | takes credit for | bitcoin rise
Trump | told | social media followers
bitcoin | doubled in | value
Trump’s election victory | associates with | bitcoin rising 50%
Trump | pledged | to make US the crypto capital
Trump | aims to transform | United States into crypto capital
Trump | pledged to create | strategic reserve of bitcoin
campaign | accepted | crypto donations
Trump | courted | crypto fans
World Liberty Financial | trades | cryptocurrencies
Trump | started | World Liberty Financial
Trump | plans to form | crypto advisory council
executives | expect | Trump pushing legislative/regulatory changes
Trump | pushes through (anticipated) | legislative/regulatory changes
Trump | promised | to remove Gary Gensler
Gary Gensler | leads | government clampdown on crypto industry
Trump taking oath | triggers | Gensler stepping down
Trump | nominated | Paul Atkins
Paul Atkins | replaces | Gensler
Atkins | involved in | crypto policy
Token Alliance | develops | best practices for digital asset issuance and trading
Chamber of Digital Commerce | works on | digital asset practice development
Novogratz | witnesses | paradigm shift
digital asset ecosystem | approaches | financial mainstream
institutional adoption | fuels | momentum
advancements in tokenisation and payments | fuel | momentum
clearer regulatory path | fuels | momentum
Satoshi Nakamoto | created | Bitcoin
Bitcoin | lacks | physical form
Nakamoto | developed | bitcoin
Nakamoto’s identity | remains | undiscovered
industry institutionalisation | enables | bitcoin reaching current level
institutional money | purchases | 3% of bitcoin supply
BlackRock | launched | bitcoin ETF
Fidelity | launched | bitcoin ETF
ETFs | are unavailable in | UK
bitcoin price increase | correlates with | crypto stock rise
US election | associates with | Coinbase share rise
MicroStrategy | raised funds to buy | bitcoin
bitcoin purchases | correlate with | MicroStrategy share gains
criminals | use | cryptocurrencies
cryptocurrencies | fund | crimes
US and UK | disrupted | money-laundering ring
money-laundering ring | used | cryptocurrency
rich Russians | evade | sanctions
ring | launders cash for | drug traffickers
investors | doubt | broad crypto adoption
time passing | helps | crypto prove itself
crypto | is | hard to value
momentum | drives | crypto trend upward
UK authorities | move cautiously on | crypto authorisation
FCA | warns | investors
buying crypto | risks | total loss
FCA roadmap | delays | full crypto dealing until 2026
Treasury’s plan | is delayed to | 2026
delay | affects | industry
Trump nominating Atkins | increases | speculation of regulatory liberalisation
US policy | triggers | fund launches by BlackRock and Fidelity
crypto | used by | criminals
Randell | compares | crypto trading to digital roulette
regulation | gives | false reassurance
Britons | own | digital currencies
offshore exchanges | provide | crypto access
