MarketWatch | reports | Bitcoin breaks $100,000
Bitcoin | breaks | $100,000 price level
Trump’s crypto embrace | boosts | Bitcoin breaking $100,000
Powell’s remarks | boost | Bitcoin breaking $100,000
Wall Street bets on bitcoin’s future | help along | Bitcoin’s remarkable comeback
Implosion of FTX | precedes by two years | Bitcoin’s remarkable comeback
Implosion of FTX | damages | crypto industry
Bitcoin | rose above | $100,000 on Wednesday night
Many crypto bulls | had been anticipating | Bitcoin’s rise above $100,000 milestone
Bitcoin’s rise above $100,000 | underscores | remarkable comeback for the crypto industry
Collapse of several key players in 2022 | is followed by | crypto industry’s remarkable comeback
World’s largest cryptocurrency (Bitcoin) | was up 2.7% to | $101,590 late Thursday morning
Bitcoin | was up more than 5% to | $103,853 at one point Wednesday night
Bitcoin | gained more than 520% from | its cycle low below $16,000 in November 2022
Implosion of crypto exchange FTX | coincided with | Bitcoin’s cycle low below $16,000 in November 2022
Implosion of crypto exchange FTX | contributed to | Bitcoin’s cycle low below $16,000
Bitcoin | is up more than 140% | year to date
CoinDesk data | reports | Bitcoin is up more than 140% year to date
President-elect Donald Trump | said he would nominate | Paul Atkins to lead the SEC
Trump’s statement about nominating Atkins | came before | Bitcoin’s move above $100,000
Trump’s statement about nominating Atkins | contributed to | Bitcoin’s move above $100,000
Atkins | is seen as friendly to | the crypto industry
Atkins | would replace | current SEC Chair Gary Gensler
Many industry participants | have viewed | Gensler’s stance on crypto as “hostile”
Gensler | leads | the Securities and Exchange Commission
Gensler’s term at the helm of the SEC | ushered in | more ways for the broader public to invest in crypto assets in a regulated format
More ways to invest in crypto assets | enable | broader public participation in crypto in a regulated format
SEC under Gensler | brought legal actions against | several digital-asset companies
Expectations for a retooled SEC under the Trump administration | have ignited | optimism over a more friendly regulatory backdrop
More friendly regulatory backdrop | would benefit | the digital-asset industry
Market watchers | tied | Bitcoin gains to Powell’s remarks at the New York Times Dealbook Summit
Powell’s remarks at the Dealbook Summit | contributed to | Bitcoin gains
Powell | said | he saw bitcoin not as a rival to the U.S. dollar but to gold
Powell | saw | bitcoin as a rival to gold
Powell | did not see | bitcoin as a rival to the U.S. dollar
Bitcoin | is just like | gold
Bitcoin | is | virtual
Bitcoin | is | digital
People | are not using | bitcoin as a form of payment
People | are not using | bitcoin as a store of value
Bitcoin | is | highly volatile
Powell | said | bitcoin is like gold, virtual, digital, not used as payment or store of value, and highly volatile
Powell’s comparison of bitcoin to gold | is | a significant development
Powell’s comparison of bitcoin to gold | introduces | another level of credibility to bitcoin as a major asset in global markets
Added credibility from Powell’s comparison | strengthens | bitcoin’s status as a major asset in global markets
Joel Kruger | said | Powell’s comparison introduces another level of credibility to bitcoin
Gold being about 10 times larger than bitcoin | should offer | additional insight into how much room bitcoin has to grow
Additional room to grow | allows | bitcoin to grow from current levels
SEC in January | greenlighted | a series of ETFs that invest directly in bitcoin
Exchange-traded funds | invest directly in | bitcoin
SEC’s greenlighting of ETFs | led to | increased mainstream adoption of bitcoin this year
Bitcoin | saw | increased mainstream adoption this year
New crypto offerings (ETFs) | helped broaden | bitcoin’s potential base of investors
New crypto offerings (ETFs) | brought | BlackRock and other major global asset managers into the fold
BlackRock and other major global asset managers | entered | the bitcoin/crypto investment space
Digital currency bitcoin | had | violent price swings on the way to $100,000
Bitcoin’s path to its $100,000 perch | included | violent swings
Violent swings in bitcoin | serve as | a reminder of how quickly investor enthusiasm for crypto can turn into regret
Investor enthusiasm for crypto | can turn into | regret
Bitcoin investors | have experienced | stunning gains in recent years
Bitcoin investors | have experienced | stunning losses in recent years
Bitcoin | has delivered | stunning gains and losses to its investors
Bitcoin’s charge higher | has made | many crypto enthusiasts giddy
Many crypto enthusiasts | have been giddy about | bitcoin’s charge higher
Market observers and participants | have had | concerns about the sustainability of the rally
Bitcoin nearing $100,000 | prompts | investors to ask whether the rally can last much longer
Trump winning a second term in the White House | gave | the price of bitcoin a boost in early November
Trump winning a second term | preceded | bitcoin’s most recent price boost
Observers | viewed | Trump as a crypto-friendly presidential candidate
Trump | was viewed as | crypto-friendly
Trump’s promises to build a bitcoin reserve | contributed to | perception of Trump as crypto-friendly
Trump’s promises to make all bitcoin “mined, minted and made in the U.S.” | contributed to | perception of Trump as crypto-friendly
Trump | promised to build | a bitcoin reserve
Trump | promised to make | all bitcoin “mined, minted and made in the U.S.”
Bitcoin’s rise above $100,000 | could have | a significant impact on its future price appreciation
Peter Chung | said | bitcoin’s rise above $100,000 could impact its future price appreciation
Human beings | have | a decimal fixation
Counting things in tens, hundreds and thousands | causes | human decimal fixation
Peter Chung | said | humans have a decimal fixation because we count in tens, hundreds and thousands
Bitcoin crossing $100,000 | will cause | public attention to spike significantly
Public attention | will spike | significantly as bitcoin crosses $100,000
Bitcoin crossing $100,000 | will lead to | a lot of media coverage
A lot of media coverage | is going to help | bitcoin grow
Increased public attention | is going to help | bitcoin grow
Peter Chung | thinks | attention and media coverage around $100,000 will help bitcoin grow
$100,000 mark | is | a sign of legitimacy of this asset class in many people’s heads
$100,000 mark | is | a sign of maturing of this asset class
Many people | see | the $100,000 mark as a sign of legitimacy or maturing of the asset class
Federico Brokate | said | the $100,000 mark is a sign of legitimacy or maturing of the asset class
Driving factors behind the price increase | matter more to | the crypto industry than the price level itself
Brokate | said | the driving factors behind the price increase matter more to the industry
Industry participants | expect | crypto to see increased adoption if the regulatory environment becomes more positive
More positive regulatory environment | will cause | crypto to see increased adoption
