people | want | agency in their lives
people wanting agency | causes | crypto exploding
Ken Griffin | says | it was a mistake not to buy crypto sooner
not buying crypto sooner | was | a mistake
being wrong earlier | does not make | Griffin a fan of Bitcoin
something | trades at | 100 times previous price
Griffin | wishes he bought | something that increased 100×
people | have | FOMO
FOMO | is | universal
FOMO | is | part of human psychology
Bitcoin | surpassed | $100,000
Trump’s election win | led to | cryptocurrency surge
Trump’s deregulation announcements | contributed to | cryptocurrency surge
Trump’s win environment | is part of | attitude of seeking agency
Republicans taking House and Senate | is part of | attitude of seeking agency
Americans | seek | agency in their lives
American people | say | they want agency
wanting agency | includes | crypto
crypto | was called | a jihadist call against the dollar
crypto | is positioned as opposing | the dollar
crypto market valuation | tells | Griffin was wrong
Griffin | admitted | he was wrong
Griffin | questions | long-term stability of cryptocurrencies
cryptocurrency structure | may not capture | zeitgeist of the world
Griffin | doesn’t understand | real need for crypto
crypto | fails to solve | clear economic problem
