Bitcoin | rose above | $100,000
Bitcoin | traded closer to | $98,000
Profit taking | caused | Bitcoin to trade closer to $98,000

Surge past $100K | followed | comments from Putin, Powell, and Trump’s nomination of Atkins
Trump’s nomination of Paul Atkins | contributed to | surge past $100K
Comments from Putin and Powell | contributed to | surge past $100K

Analysts | set | bitcoin price targets above $100,000
Increasing demand | drives | higher bitcoin price targets
Limited supply | drives | higher bitcoin price targets

Volatility in bitcoin prices | may occur | (effect: future price fluctuations)
Volatility | may not be as severe as | past cycles

Bitcoin | soared past | $100,000
Analysts | think | bitcoin could stay above $100,000

Encouraging words from Putin, Powell, and Trump’s SEC pick | boosted | bitcoin above $103,000
Bitcoin | traded lower | Thursday afternoon
Profit taking | caused | bitcoin to trade lower

Bitcoin bulls | remain confident | bitcoin will trade above $100,000

Trump’s pick of Paul Atkins | boosted | bitcoin price
Investors | cheered | Trump’s pick of Atkins
Gensler | announced | he would step down
Trump | congratulated | bitcoin holders
Trump | took credit for | bitcoin’s price milestone

Trump’s election victory | expected to boost | crypto industry
Bitcoin | traded below | $70,000 on Election Day

Putin | encouraged | bitcoin investors
U.S. | undermined | dollar's role as global reserve currency
U.S. using dollar for political purposes | forces | countries to seek alternatives
Countries | look for | alternatives (including bitcoin)
Putin | claimed | no one can prohibit bitcoin

Powell | said | bitcoin is a competitor for gold
Bitcoin | is | competitor for gold

Bernstein analysts | expect | bitcoin to become a premier store of value
Bitcoin | will replace | gold (predicted)

Bitcoin | has | finite supply (21 million)
Finite supply + increasing demand | dictate | long-term price increase

Demand | is exploding for | bitcoin
Bitcoin supply | is fixed and does not respond to | price signals

In traditional commodities | companies increase production to | satisfy demand

Breaching $100,000 | makes | earlier price predictions seem reachable

Bernstein analysts | expect | bitcoin to reach $200,000 in 2025
Bernstein analysts | anticipate | bitcoin to reach $500,000 in 2029
Bernstein analysts | anticipate | bitcoin to reach $1 million in 2033

Technical analysis | suggests | bitcoin could rise to $129,930
Technical analysis | provides | support levels of $90,500 and $80,500
Profit taking | may trigger | downtrend

Pullbacks | will occur | in any bull market
Bitcoin price drops | may be less severe | going forward (per Hougan)

Bitcoin’s finite supply, outperformance, and volatility | make | bitcoin a better investment than gold (per Saylor)
Volatility | is | a feature of a 24/7 global market
