Bitcoin | experiences | price explosion
Bitcoin's price explosion | affects | crypto in 2025 (implied inquiry)

Bitcoin | hits | $100,000
Donald Trump’s re-election | contributes to | Bitcoin hitting $100,000
Other contributing factors | have led to | crypto resurgence

Donald Trump winning re-election | causes | Bitcoin price to continue soaring
Bitcoin price | rose from | ~$73,000 to ~$98,000
CoinGecko data | reports | Bitcoin price movement

Bitcoin | hit | new all-time high of $103,000
Bitcoin | surpassed | $100,000 mark
$100,000 mark | was seen as | point of resistance

Cryptocurrency prices | are | notoriously volatile
Coin’s market cap | determines | amount of money needed to spike/dump price
Larger market cap | requires | more money to move price

Bitcoin | is | largest cryptocurrency
Bitcoin | is | oldest cryptocurrency
Bitcoin’s price movements | influence | rest of crypto market

New inflows | go to | BTC
Chris Akhavan | says | new inflows go to BTC
Speculation that US will build BTC reserve | creates | tailwinds skewing cycle toward BTC

Combination of favorable broader market + US government changes | caused | Bitcoin surpassing $90,000
US government changes | may trigger | potentially massive shift

Coinbase rep | emphasizes | government changes don’t necessarily refer to Trump

US approval of spot BTC/ETH ETFs | were | major milestones
Europe’s MiCA regulation | was | significant development
House approval of FIT21 | was | significant development
BlackRock’s tokenized BUIDL fund | was | significant development
These advancements | were impressive considering | asset class was reeling last year

Interest rate hikes (previous year) | caused | asset class to reel
Regulatory crackdowns (previous year) | weakened | asset class

Crypto industry | has been accused of | buying/winning election for Trump
Coinbase | spent | over $50 million on political donations
Coinbase CEO | reportedly met with | President-elect
Coinbase | denies | CEO openly supports Trump

Investors | feel more confident due to | Trump’s win
Approval of Bitcoin ETFs | increases | investor confidence
Investor confidence | causes | Bitcoin price to spike
Investors | believe | US regulation will favor them

Bitcoin’s price | is shaped by | market sentiment
Bitcoin’s price | is shaped by | regulatory developments
Bitcoin’s price | is shaped by | macroeconomic conditions

Cryptocurrency market | remains | inherently volatile
Prices | are subject to | rapid fluctuations

Slusser | urges | investors to approach market with caution
Investors | must keep | close eye on evolving trends
Investors | must maintain | well-considered strategy
Strategy | helps navigate | high-risk, high-reward environment

Trump | has embraced | crypto industry
Trump | launched | his own NFTs
Trump | appeared at | Bitcoin Conference
Trump | made friends with | Elon Musk

Elon Musk | is tapped to run | Department of Government Efficiency
DOGE (department name) | shares name with | meme coin Musk once touted

Musk touting DOGE on SNL (2021) | preceded | crypto market crash
Crypto market crash | occurred in large part due to | failure of FTX
Sam Bankman-Fried’s FTX failure | caused | crypto market crash

Trump | made | crypto promises
Trump | said | US would never sell Bitcoin holdings
US government | obtained | Bitcoin by seizing it from cybercriminals

Hackers/scammers | prefer using | crypto
Hackers/scammers | target | crypto users
Blockchain transaction irreversibility | motivates | hacker/scammer preference for crypto
Difficulty tracing identities | enables | hacker/scammer preference

Trump | said he would fire | SEC Chairman Gensler
President | does not have power to | fire SEC chair
Gensler | announced | he will resign

Trump | selected | Paul Aktins to replace Gensler
Selection of pro-crypto Aktins | is | good news for crypto industry

Trump | supports | Bitcoin mining
Trump | wants | Bitcoin mining done in America
Trump | claims | Biden’s hatred of Bitcoin helps China/Russia/Left

Biden administration | has not stated | crypto stance
Axios | suggested | Biden policies hinder crypto advancement
