Bitcoin | soared past | $100,000 mark.
Growing investor confidence | drove | Bitcoin soaring past $100,000.
Growing investor confidence | was in | a pro-crypto shift under the incoming Trump administration.
Pro-crypto shift under the incoming Trump administration | generated | growing investor confidence.
The cryptocurrency (Bitcoin) | closed at | around $69,500 on Election Day.
The cryptocurrency (Bitcoin) | climbed over | 45% in the weeks since Donald Trump's victory.
Donald Trump's victory | preceded | the cryptocurrency climbing over 45%.
Other digital assets (Ethereum and Litecoin) | followed suit with | notable gains.
Other digital assets (Ethereum and Litecoin) | experienced | notable gains.
The surge | reflects | optimism around Trump's cabinet picks.
Trump's cabinet picks (including Sarah Kline's nomination) | generated | optimism.
Sarah Kline's nomination | is to head | the Commodity Futures Trading Commission (CFTC).
Sarah Kline | is | a crypto-friendly regulator.
Kline | was | a former advisor to blockchain initiatives.
Kline | is expected to advocate for | lighter regulations on digital currencies.
The nomination (of Kline) | signals | a green light for innovation in the crypto space.
Mark Feldman | said | the nomination signals a green light for innovation in the crypto space.
Mark Feldman | is | a senior analyst at Blockchain Insights.
Trump | vowed to position | the U.S. as a global leader in blockchain technology.
Trump | promised | a national crypto framework.
Trump | promised | reduced oversight from agencies like the SEC.
Critics of the outgoing Biden administration | point to | Gary Gensler's stringent enforcement actions.
Critics | argue that | Gary Gensler's stringent enforcement actions stifled growth.
Gary Gensler | is | SEC Chair.
Industry leaders | dubbed | Gary Gensler a "crypto adversary".
Gary Gensler | announced | his resignation effective January 20.
Institutional adoption | amplified | the rally.
Spot Bitcoin ETFs from firms like Vanguard and State Street | attracted | over $25 billion in inflows this year.
Spot Bitcoin ETFs | are from | firms like Vanguard and State Street.
Over $25 billion in inflows | contributed to | amplification of the rally.
Some experts | warn of | volatility ahead.
Emily Torres | noted | similar booms have been followed by corrections.
Emily Torres | is | an economist at Global Finance Group.
Bitcoin's price | dipped slightly after | hitting $104,200.
Bitcoin's price | remains above | $101,000.
Bitcoin's price behavior | underscores | its evolution from a fringe asset to a mainstream investment.
Bitcoin | has evolved from | a fringe asset to a mainstream investment.
Trump preparing to take office | led the crypto community to | anticipate policies.
The crypto community | anticipates | policies that could include tax incentives for miners.
The crypto community | anticipates | policies that could include integration of digital assets into federal reserves.
