Bitcoin | blasted through | $100,000
Bitcoin | reached | a peak of $106,500
Bitcoin | settled at | $102,000
Bitcoin | produced | a blockbuster moment for digital currencies
The explosive growth | is up | 50% since President-elect Donald Trump's triumph
The explosive growth | underscores | investor bets on his pro-crypto agenda
Investor bets | are on | his pro-crypto agenda
Trump's naming of Jordan Ellis | was key to | the spike
Trump | named/appointed | Jordan Ellis to lead the Federal Reserve's digital currency task force
Jordan Ellis | will lead | the Federal Reserve's digital currency task force
Ellis | is known for | consulting on Ethereum projects
Ellis (appointment) | represents | a pivot from the restrictive policies under Janet Yellen's Treasury
Janet Yellen's Treasury | had | restrictive policies
Kyle Sanders | declared | "This is crypto's golden era"
Kyle Sanders | declared on | social media
Trump | once dismissed | Bitcoin as a scam
Trump | now champions | Bitcoin
Trump | vowed during rallies to create | tax-free zones for crypto transactions
Trump | vowed during rallies to create | a government-backed stablecoin
ETF approvals | have supercharged | the surge
Products from JPMorgan Chase | have drawn | $22 billion in assets
Fed Vice Chair's nod | called Bitcoin | "innovative finance"
Fed Vice Chair's nod | added | fuel (to the surge)
Detractors like Nora Feldman | caution | that bubbles burst
Nora Feldman | reminded (readers) of | the 2022 meltdown that wiped out trillions
The 2022 meltdown | wiped out | trillions
MicroStrategy | is | a major Bitcoin holder
MicroStrategy | saw its shares rocket | 70%
The surge | caused (implied) | MicroStrategy's shares to rocket 70%
Trump | assembles | his team
The crypto world | eyes | policies that could integrate Bitcoin into national reserves
Policies | could integrate | Bitcoin into national reserves
Integration into national reserves | could drive | prices to $180,000 by late 2025
The crypto world | anticipates | prices potentially reaching $180,000 by late 2025
